Manufacturer,Year,Mileage
chevrolet,2016,43176.0
chevrolet,2018,6654.0
chevrolet,2019,9706.0
chevrolet,2018,2430.0
chevrolet,2018,9371.0
chevrolet,2019,6075.0
chevrolet,2018,30442.0
chevrolet,2019,27601.0
chevrolet,2010,149050.0
chevrolet,2018,22909.0
chevrolet,2013,167600.0
chevrolet,1973,46226.0
chevrolet,2015,61578.0
chevrolet,2017,18414.0
chrysler,2019,41792.0
chrysler,2017,32224.0
chrysler,2017,31311.0
chrysler,2015,88227.0
chrysler,2000,231240.0
chrysler,2005,151815.0
chrysler,2017,18375.0
chrysler,2011,114119.0
chrysler,2019,33135.0
chrysler,2017,138650.0
chrysler,2020,2473.0
chrysler,2007,104405.0
chrysler,2019,42648.0
chrysler,2019,38586.0
chrysler,2008,164048.0
chrysler,2019,25281.0
chrysler,2018,20942.0
chrysler,2019,34801.0
dodge,2015,94140.0
dodge,2012,145174.0
dodge,2018,22036.0
dodge,2019,10350.0
dodge,2019,10447.0
dodge,2019,33580.0
dodge,2019,23421.0
dodge,2017,38956.0
dodge,2015,67133.0
dodge,2013,135561.0
dodge,2012,217576.0
dodge,2019,26462.0
dodge,2019,21309.0
dodge,2019,31237.0
dodge,2019,27019.0
dodge,2019,30727.0
dodge,2019,41956.0
dodge,2019,8605.0
dodge,2019,30186.0
dodge,2019,36993.0
dodge,2013,124247.0
dodge,2013,139404.0
dodge,2019,10170.0
dodge,2019,37107.0
dodge,2019,73552.0
dodge,2019,10930.0
dodge,2019,22272.0
dodge,2016,101906.0
dodge,2012,157636.0
dodge,2019,31542.0
dodge,2019,29749.0
dodge,2019,13906.0
dodge,2019,30403.0
dodge,2018,42303.0
dodge,2017,39792.0
dodge,2012,99015.0
dodge,2018,35326.0
dodge,2019,27327.0
dodge,2019,30229.0
dodge,2019,43294.0
dodge,2018,26026.0
dodge,2019,54309.0
dodge,2019,45554.0
dodge,2019,37538.0
dodge,2019,35153.0
dodge,2019,38375.0
dodge,2019,23783.0
dodge,2019,30759.0
dodge,2019,38922.0
dodge,2012,165836.0
dodge,2019,52822.0
dodge,2018,20575.0
dodge,2019,28252.0
dodge,2017,30309.0
dodge,2012,101017.0
dodge,2013,33739.0
dodge,2019,23143.0
dodge,2012,88539.0
dodge,2019,17340.0
dodge,2013,84109.0
dodge,2019,10229.0
dodge,2016,99988.0
dodge,2020,5284.0
dodge,2019,35248.0
dodge,2019,27288.0
dodge,2019,48854.0
dodge,2019,38817.0
dodge,2019,22863.0
dodge,2018,40417.0
dodge,2019,22919.0
dodge,2019,23961.0
dodge,2018,24336.0
dodge,2019,31904.0
dodge,2019,20601.0
dodge,2019,6269.0
dodge,2019,14051.0
dodge,2014,98699.0
dodge,2019,35274.0
dodge,2018,33495.0
dodge,2019,39148.0
dodge,2019,31447.0
dodge,2018,37009.0
dodge,2019,28689.0
dodge,2019,29602.0
dodge,2019,36203.0
dodge,2019,30585.0
dodge,2019,32474.0
dodge,2019,30731.0
dodge,2019,25825.0
dodge,2019,30279.0
dodge,2019,49575.0
dodge,2019,27312.0
dodge,2019,36750.0
dodge,2019,29926.0
dodge,2019,29985.0
dodge,2018,48745.0
dodge,2019,31297.0
dodge,2019,38745.0
dodge,2019,35744.0
dodge,2019,43943.0
dodge,2019,34797.0
dodge,2019,33641.0
dodge,2019,43088.0
dodge,2019,30055.0
dodge,2019,35652.0
dodge,2019,14656.0
dodge,2019,19983.0
dodge,2019,26899.0
dodge,2019,17515.0
dodge,2019,34264.0
dodge,2019,36876.0
dodge,2016,22863.0
dodge,2019,34930.0
dodge,2019,40002.0
dodge,2017,27060.0
dodge,2019,37704.0
dodge,2019,27071.0
dodge,2019,36127.0
dodge,2019,30062.0
dodge,2019,26643.0
dodge,2019,7247.0
dodge,2019,35047.0
dodge,2019,46820.0
dodge,2019,14117.0
dodge,2018,50873.0
dodge,2019,9669.0
dodge,2019,32898.0
dodge,2015,13740.0
dodge,2019,32494.0
dodge,2019,15502.0
dodge,2019,23132.0
dodge,2019,20800.0
dodge,2019,13960.0
dodge,2019,37174.0
dodge,2019,34023.0
dodge,2019,44381.0
dodge,2019,30021.0
dodge,2019,10631.0
dodge,2019,8873.0
dodge,2017,51469.0
dodge,2017,40991.0
dodge,2019,9023.0
dodge,2019,28038.0
dodge,2014,40110.0
dodge,2015,60707.0
dodge,2019,28295.0
dodge,2019,25534.0
dodge,2018,12554.0
dodge,2013,83976.0
dodge,2019,34294.0
dodge,2019,40674.0
dodge,2013,126718.0
dodge,2017,89795.0
dodge,2018,20907.0
dodge,2019,19235.0
dodge,2019,27643.0
dodge,2018,41014.0
dodge,2019,3966.0
dodge,2019,35516.0
dodge,2018,8047.0
dodge,2017,57158.0
dodge,2019,9445.0
dodge,2019,17909.0
dodge,2018,54106.0
dodge,2019,11280.0
dodge,2019,9877.0
dodge,2019,13944.0
dodge,2016,26922.0
dodge,2019,12690.0
dodge,2013,239822.0
dodge,2014,74975.0
dodge,2019,28289.0
dodge,2019,38041.0
dodge,2019,20944.0
dodge,2017,52386.0
dodge,2018,14750.0
dodge,2019,34391.0
dodge,2019,22074.0
dodge,2019,28782.0
dodge,2019,30092.0
dodge,2019,26443.0
dodge,2019,34922.0
dodge,2019,28981.0
dodge,2019,32865.0
dodge,2014,117258.0
dodge,2019,16397.0
dodge,2019,16176.0
dodge,2019,1091.0
dodge,2019,39515.0
dodge,2019,17472.0
dodge,2019,19506.0
dodge,2014,122837.0
dodge,2014,86125.0
dodge,2019,30408.0
dodge,2019,35443.0
dodge,2014,95377.0
dodge,2019,32724.0
dodge,2019,45089.0
dodge,2019,35948.0
dodge,2019,18291.0
dodge,2019,41601.0
dodge,2019,26370.0
dodge,2019,18271.0
dodge,2019,18313.0
dodge,2019,9476.0
dodge,2018,57394.0
dodge,2017,13627.0
dodge,2018,42190.0
dodge,2019,22591.0
dodge,2018,48681.0
dodge,2018,42621.0
dodge,2017,27761.0
dodge,2013,107768.0
dodge,2019,14355.0
dodge,2019,8949.0
dodge,2019,9467.0
dodge,2012,80899.0
dodge,2012,123882.0
dodge,2019,10341.0
dodge,2019,19695.0
dodge,2019,13520.0
dodge,2014,96922.0
dodge,2014,72594.0
dodge,2019,17896.0
dodge,2019,11088.0
dodge,2019,15003.0
dodge,2019,29567.0
dodge,2019,15655.0
dodge,2019,26428.0
dodge,2019,29003.0
dodge,2019,32229.0
dodge,2014,69936.0
dodge,2019,26503.0
dodge,2019,15446.0
dodge,2014,128556.0
dodge,2019,23369.0
dodge,2019,8767.0
dodge,2019,48319.0
dodge,2019,15275.0
dodge,2019,33826.0
dodge,2019,16679.0
dodge,2019,26184.0
dodge,2019,21203.0
dodge,2019,17870.0
dodge,2019,14098.0
dodge,2019,13457.0
dodge,2019,29105.0
dodge,2019,34794.0
dodge,2017,51041.0
dodge,2018,22646.0
dodge,2019,14359.0
dodge,2019,14753.0
dodge,2018,18138.0
dodge,2019,23987.0
dodge,2019,17160.0
dodge,2019,26929.0
dodge,2019,25815.0
dodge,2017,81992.0
dodge,2019,5000.0
dodge,2015,62683.0
dodge,2013,107224.0
dodge,2013,184905.0
dodge,2019,35153.0
dodge,2019,26474.0
dodge,2019,30943.0
dodge,2019,46942.0
dodge,2019,20034.0
dodge,2019,17154.0
dodge,2016,79637.0
dodge,2019,12123.0
dodge,2016,107822.0
dodge,2019,10221.0
dodge,2015,95278.0
dodge,2018,38029.0
dodge,2017,32593.0
dodge,2019,30630.0
dodge,2016,72248.0
dodge,2019,41198.0
dodge,2019,26353.0
dodge,2019,28280.0
dodge,2012,130120.0
dodge,2019,15340.0
dodge,2018,12265.0
dodge,2014,94872.0
dodge,2018,17946.0
dodge,2018,26996.0
dodge,2019,5775.0
dodge,2018,6748.0
dodge,2019,14906.0
dodge,2015,107924.0
dodge,2018,41636.0
dodge,2018,5359.0
dodge,2015,70296.0
dodge,2017,11346.0
dodge,2017,7415.0
dodge,2013,107593.0
dodge,2016,50639.0
dodge,2019,6530.0
dodge,2016,17432.0
dodge,2019,26090.0
dodge,2019,20279.0
dodge,2018,38128.0
dodge,2019,34407.0
dodge,2019,18049.0
dodge,2019,24722.0
dodge,2017,32051.0
dodge,2017,14870.0
dodge,2019,25456.0
dodge,2013,109176.0
dodge,2016,32294.0
dodge,2015,7250.0
dodge,2019,41126.0
dodge,2018,59924.0
dodge,2017,21304.0
dodge,2018,52079.0
dodge,2018,54960.0
dodge,2013,80099.0
dodge,2019,23987.0
dodge,2017,84144.0
dodge,2019,18132.0
dodge,2014,85639.0
dodge,2018,50193.0
dodge,2017,74392.0
dodge,2017,76117.0
dodge,2018,36358.0
dodge,2017,90685.0
dodge,2017,54141.0
dodge,2016,82240.0
dodge,2016,66167.0
dodge,2012,144220.0
dodge,2019,19636.0
dodge,2018,19164.0
dodge,2016,41748.0
dodge,2019,32937.0
dodge,2017,15027.0
dodge,2013,86500.0
dodge,2014,144725.0
dodge,2013,163260.0
dodge,2018,19636.0
dodge,2018,34272.0
dodge,2018,42909.0
